erreurs k npp


(' k :', 1)
('erreur : id : ', 0, ' k :', 1, ' predite :', 1, ' reele :', 7)
('erreur : id : ', 1, ' k :', 1, ' predite :', 1, ' reele :', 2)
('erreur : id : ', 3, ' k :', 1, ' predite :', 1, ' reele :', 0)
('erreur : id : ', 4, ' k :', 1, ' predite :', 1, ' reele :', 4)
('erreur : id : ', 6, ' k :', 1, ' predite :', 1, ' reele :', 4)
('erreur : id : ', 7, ' k :', 1, ' predite :', 1, ' reele :', 9)
('erreur : id : ', 8, ' k :', 1, ' predite :', 1, ' reele :', 5)
('erreur : id : ', 9, ' k :', 1, ' predite :', 1, ' reele :', 9)
(' k :', 2)
('erreur : id : ', 0, ' k :', 2, ' predite :', 2, ' reele :', 7)
('erreur : id : ', 1, ' k :', 2, ' predite :', 1, ' reele :', 2)
('erreur : id : ', 2, ' k :', 2, ' predite :', 2, ' reele :', 1)
('erreur : id : ', 3, ' k :', 2, ' predite :', 1, ' reele :', 0)
('erreur : id : ', 4, ' k :', 2, ' predite :', 1, ' reele :', 4)
('erreur : id : ', 5, ' k :', 2, ' predite :', 2, ' reele :', 1)
('erreur : id : ', 6, ' k :', 2, ' predite :', 2, ' reele :', 4)
('erreur : id : ', 7, ' k :', 2, ' predite :', 2, ' reele :', 9)
('erreur : id : ', 8, ' k :', 2, ' predite :', 1, ' reele :', 5)
('erreur : id : ', 9, ' k :', 2, ' predite :', 2, ' reele :', 9)
(' k :', 3)
('erreur : id : ', 0, ' k :', 3, ' predite :', 2, ' reele :', 7)
('erreur : id : ', 2, ' k :', 3, ' predite :', 2, ' reele :', 1)
('erreur : id : ', 3, ' k :', 3, ' predite :', 2, ' reele :', 0)
('erreur : id : ', 4, ' k :', 3, ' predite :', 2, ' reele :', 4)
('erreur : id : ', 5, ' k :', 3, ' predite :', 3, ' reele :', 1)
('erreur : id : ', 6, ' k :', 3, ' predite :', 3, ' reele :', 4)
('erreur : id : ', 7, ' k :', 3, ' predite :', 3, ' reele :', 9)
('erreur : id : ', 8, ' k :', 3, ' predite :', 2, ' reele :', 5)
('erreur : id : ', 9, ' k :', 3, ' predite :', 3, ' reele :', 9)
(' k :', 4)
('erreur : id : ', 0, ' k :', 4, ' predite :', 2, ' reele :', 7)
('erreur : id : ', 2, ' k :', 4, ' predite :', 3, ' reele :', 1)
('erreur : id : ', 3, ' k :', 4, ' predite :', 2, ' reele :', 0)
('erreur : id : ', 4, ' k :', 4, ' predite :', 2, ' reele :', 4)
('erreur : id : ', 5, ' k :', 4, ' predite :', 3, ' reele :', 1)
('erreur : id : ', 6, ' k :', 4, ' predite :', 3, ' reele :', 4)
('erreur : id : ', 7, ' k :', 4, ' predite :', 4, ' reele :', 9)
('erreur : id : ', 8, ' k :', 4, ' predite :', 3, ' reele :', 5)
('erreur : id : ', 9, ' k :', 4, ' predite :', 3, ' reele :', 9)
(' k :', 5)
('erreur : id : ', 0, ' k :', 5, ' predite :', 3, ' reele :', 7)
('erreur : id : ', 1, ' k :', 5, ' predite :', 3, ' reele :', 2)
('erreur : id : ', 2, ' k :', 5, ' predite :', 4, ' reele :', 1)
('erreur : id : ', 3, ' k :', 5, ' predite :', 2, ' reele :', 0)
('erreur : id : ', 4, ' k :', 5, ' predite :', 2, ' reele :', 4)
('erreur : id : ', 5, ' k :', 5, ' predite :', 4, ' reele :', 1)
('erreur : id : ', 7, ' k :', 5, ' predite :', 5, ' reele :', 9)
('erreur : id : ', 8, ' k :', 5, ' predite :', 4, ' reele :', 5)
('erreur : id : ', 9, ' k :', 5, ' predite :', 4, ' reele :', 9)
(' k :', 6)
('erreur : id : ', 0, ' k :', 6, ' predite :', 3, ' reele :', 7)
('erreur : id : ', 1, ' k :', 6, ' predite :', 4, ' reele :', 2)
('erreur : id : ', 2, ' k :', 6, ' predite :', 5, ' reele :', 1)
('erreur : id : ', 3, ' k :', 6, ' predite :', 2, ' reele :', 0)
('erreur : id : ', 4, ' k :', 6, ' predite :', 2, ' reele :', 4)
('erreur : id : ', 5, ' k :', 6, ' predite :', 5, ' reele :', 1)
('erreur : id : ', 7, ' k :', 6, ' predite :', 6, ' reele :', 9)
('erreur : id : ', 9, ' k :', 6, ' predite :', 5, ' reele :', 9)
(' k :', 7)
('erreur : id : ', 0, ' k :', 7, ' predite :', 3, ' reele :', 7)
('erreur : id : ', 1, ' k :', 7, ' predite :', 5, ' reele :', 2)
('erreur : id : ', 2, ' k :', 7, ' predite :', 6, ' reele :', 1)
('erreur : id : ', 3, ' k :', 7, ' predite :', 2, ' reele :', 0)
('erreur : id : ', 4, ' k :', 7, ' predite :', 3, ' reele :', 4)
('erreur : id : ', 5, ' k :', 7, ' predite :', 6, ' reele :', 1)
('erreur : id : ', 7, ' k :', 7, ' predite :', 7, ' reele :', 9)
('erreur : id : ', 8, ' k :', 7, ' predite :', 6, ' reele :', 5)
('erreur : id : ', 9, ' k :', 7, ' predite :', 6, ' reele :', 9)
(' k :', 8)
('erreur : id : ', 0, ' k :', 8, ' predite :', 4, ' reele :', 7)
('erreur : id : ', 1, ' k :', 8, ' predite :', 5, ' reele :', 2)
('erreur : id : ', 2, ' k :', 8, ' predite :', 6, ' reele :', 1)
('erreur : id : ', 3, ' k :', 8, ' predite :', 3, ' reele :', 0)
('erreur : id : ', 5, ' k :', 8, ' predite :', 7, ' reele :', 1)
('erreur : id : ', 7, ' k :', 8, ' predite :', 8, ' reele :', 9)
('erreur : id : ', 8, ' k :', 8, ' predite :', 6, ' reele :', 5)
('erreur : id : ', 9, ' k :', 8, ' predite :', 7, ' reele :', 9)
